"Zelda","The Legend of Zelda: Breath of the Wild series","2017-03-02"
"Link (Rider)","The Legend of Zelda: Breath of the Wild series","2017-03-02"
"Guardian","The Legend of Zelda: Breath of the Wild series","2017-03-02"
"Poochy","Yoshi's Woolly World series","2017-02-02"
"Paquete de colaboración Sanrio de Animal Crossing","Animal Crossing series","2016-12-02"
"Animal Crossing: New Leaf - Welcome amiibo series","Animal Crossing series","2016-12-01"
"Link (Ocarina of Time)","30th Anniversary series","2016-12-01"
"Link (The Legend of Zelda)","30th Anniversary series","2016-12-01"
"Toon Link (The Wind Waker)","30th Anniversary series","2016-12-01"
"Zelda (The Wind Waker)","30th Anniversary series","2016-12-01"
"Rosalina","Super Mario series","2016-11-03"
"Daisy","Super Mario series","2016-11-03"
"Wario","Super Mario series","2016-11-03"
"Waluigi","Super Mario series","2016-11-03"
"Diddy Kong","Super Mario series","2016-11-03"
"Donkey Kong","Super Mario series","2016-11-03"
"Boo","Super Mario series","2016-11-03"
"Mar","Splatoon series","2016-07-07"
"Tina","Splatoon series","2016-07-07"
"Inkling calamar","Splatoon series","2016-07-07"
"Inkling chico","Splatoon series","2016-07-07"
"Inkling chica","Splatoon series","2016-07-07"
"Waddle Dee","Kirby series","2016-06-09"
"Kirby","Kirby series","2016-06-09"
"Canela (ropa de verano)","Animal Crossing series","2016-06-09"
"Rey Dedede","Kirby series","2016-06-09"
"Meta Knight","Kirby series","2016-06-09"
"Animal Crossing Cards - Series 4","Animal Crossing series","2016-06-09"
"R.O.B. (Versión Famicom)","Super Smash Bros. series","2016-03-17"
"Shadow Mewtwo","Disponible el 17/03/16","2016-03-17"
"Ryu","Super Smash Bros. series","2016-03-17"
"Roy","Super Smash Bros. series","2016-03-17"
"Fran","Animal Crossing series","2016-03-17"
"Capitán","Animal Crossing series","2016-03-17"
"Animal Crossing Cards - Series 3","Animal Crossing series","2016-03-17"
"Tendo y Nendo","Animal Crossing series","2016-03-17"
"Wolf Link","The Legend of Zelda series","2016-03-03"
"Mega Man (Gold Edition)","Mega Man series","2016-02-22"
"Betunio","Animal Crossing series","2016-01-21"
"Blathers","Animal Crossing series","2016-01-21"
"Animal Crossing Cards - Series 2","Animal Crossing series","2016-01-21"
"Resetti","Animal Crossing series","2016-01-21"
"Estela","Animal Crossing series","2016-01-21"
"Lucas","Super Smash Bros. series","2016-01-21"
"Shovel Knight","Shovel Knight series","2016-01-08"
"Nuria","Animal Crossing series","2015-11-21"
"Falco","Super Smash Bros. series","2015-11-19"
"Mega Yarn Yoshi","Yoshi's Woolly World series","2015-11-14"
"Totakeke","Animal Crossing series","2015-11-12"
"Pili","Animal Crossing series","2015-11-12"
"Mewtwo","Super Smash Bros. series","2015-11-12"
"Candrés","Animal Crossing series","2015-11-12"
"Tom Nook","Animal Crossing series","2015-11-12"
"Canela (ropa de invierno)","Animal Crossing series","2015-11-12"
"Paca","Animal Crossing series","2015-11-12"
"Al","Animal Crossing series","2015-11-12"
"Peleador Mii","Super Smash Bros. series","2015-10-31"
"Espadachín Mii","Super Smash Bros. series","2015-10-31"
"Tirador Mii","Super Smash Bros. series","2015-10-31"
"Yoshi tejido azul claro","Yoshi's Woolly World series","2015-10-15"
"Pink Yarn Yoshi","Yoshi's Woolly World series","2015-10-15"
"Yoshi tejido verde","Yoshi's Woolly World series","2015-10-15"
"Chibi-Robo","Chibi-Robo series","2015-10-08"
"Mr. Game & Watch","Super Smash Bros. series","2015-09-24"
"R.O.B.","Super Smash Bros. series","2015-09-24"
"Animal Crossing Cards - Series 1","Animal Crossing series","2015-09-24"
"Duck Hunt","Super Smash Bros. series","2015-09-24"
"Dark Hammer Slam Bowser","Skylanders Superchargers series","2015-09-20"
"Dark Turbo Charge Donkey Kong","Skylanders Superchargers series","2015-09-20"
"Hammer Slam Bowser","Skylanders Superchargers series","2015-09-19"
"Turbo Charge Donkey Kong","Skylanders Superchargers series","2015-09-19"
"Dr. Mario","Super Smash Bros. series","2015-09-10"
"Olimar","Super Smash Bros. series","2015-09-10"
"30th Anniversary Mario - Classic Color","30th Anniversary series","2015-09-10"
"30th Anniversary Mario - Modern Color","30th Anniversary series","2015-09-10"
"Ganondorf","Super Smash Bros. series","2015-09-10"
"Bowser Jr.","Super Smash Bros. series","2015-09-10"
"Zero Suit Samus","Super Smash Bros. series","2015-09-10"
"Pit Sombrío","Super Smash Bros. series","2015-07-30"
"Palutena","Super Smash Bros. series","2015-07-26"
"Mario (Edición Plata)","Super Mario series","2015-05-29"
"Wario","Super Smash Bros. series","2015-05-28"
"Inkling chico","Splatoon series","2015-05-28"
"Inkling chica","Splatoon series","2015-05-28"
"Inkling calamar","Splatoon series","2015-05-28"
"Jigglypuff","Super Smash Bros. series","2015-05-28"
"Charizard","Super Smash Bros. series","2015-05-28"
"Lucina","Super Smash Bros. series","2015-05-28"
"Ness","Super Smash Bros. series","2015-05-28"
"PAC-MAN","Super Smash Bros. series","2015-05-28"
"Robin","Super Smash Bros. series","2015-05-28"
"Greninja","Super Smash Bros. series","2015-05-28"
"Mario (Edición oro)","Super Mario series","2015-03-19"
"Toad","Super Mario series","2015-03-19"
"Yoshi","Super Mario series","2015-03-19"
"Luigi","Super Mario series","2015-03-19"
"Mario","Super Mario series","2015-03-19"
"Bowser™","Super Mario series","2015-03-19"
"Ike","Super Smash Bros. series","2015-02-28"
"Rey Dedede","Super Smash Bros. series","2015-02-28"
"Shulk","Super Smash Bros. series","2015-02-01"
"Mega Man","Super Smash Bros. series","2015-02-01"
"Sheik","Super Smash Bros. series","2015-02-01"
"Meta Knight","Super Smash Bros. series","2015-02-01"
"Toon Link","Super Smash Bros. series","2015-02-01"
"Rosalina","Super Smash Bros. series","2015-02-01"
"Sonic","Super Smash Bros. series","2015-02-01"
"Lucario","Super Smash Bros. series","2015-02-01"
"Captain Falcon","Super Smash Bros. series","2014-12-31"
"Diddy Kong","Super Smash Bros. series","2014-12-31"
"Little Mac","Super Smash Bros. series","2014-12-01"
"Pit","Super Smash Bros. series","2014-12-01"
"Zelda","Super Smash Bros. series","2014-12-01"
"Luigi","Super Smash Bros. series","2014-12-01"
"Villager","Super Smash Bros. series","2014-11-20"
"Peach","Super Smash Bros. series","2014-11-20"
"Pikachu","Super Smash Bros. series","2014-11-20"
"Link","Super Smash Bros. series","2014-11-20"
"Kirby","Super Smash Bros. series","2014-11-20"
"Mario","Super Smash Bros. series","2014-11-20"
"Fox","Super Smash Bros. series","2014-11-20"
"Yoshi","Super Smash Bros. series","2014-11-20"
"Wii Fit Trainer","Super Smash Bros. series","2014-11-20"
"Samus","Super Smash Bros. series","2014-11-20"
"Donkey Kong","Super Smash Bros. series","2014-11-20"
"Marth","Super Smash Bros. series","2014-11-20"
"Samus oscura","Super Smash Bros. series",""
"Bowser","Super Smash Bros. series","2015-01-01"
"Ivysaur","Super Smash Bros. series","2019-01-01"
